"name_h","Team_type","Team_size_class","human_members_count","bot_members_count","human_work","work_per_human","human_gini","human_Push","human_IssueComments","human_PRReviewComment","human_MergedPR","bot_work","bot_Push","bot_IssueComments","bot_PRReviewComment","bot_MergedPR","eval_survival_day_median","issues_count"
"5Is-_ie16OEGmW1arZm8qg/QRgrUx6IO2--mVcNzEliKA","human","Large",9,0,334,37.1111111111111,0.602794411177644,218,91,25,0,0,0,0,0,0,25,6
"5OFBNoTOzmclVVZ8O6qEtA/rSBhL0fyy_YRa9WcjIyd_Q","human","Medium",4,0,412,103,0.201456310679611,412,0,0,0,0,0,0,0,0,NA,NA
"5P928-e9QE7_07ntx2hatg/ib_zH46eP8_bmfuD6MC9Xw","human","Small",2,0,62,31,0.451612903225806,62,0,0,0,0,0,0,0,0,NA,NA
"5PCr79vk1nB5zUR62UtiVw/aE4XOYozOX0zGN1eID4MRw","human-bot","Small",2,1,262,131,0.385496183206106,205,47,10,0,35,0,35,0,0,162,5
"5pjYAidnYGTYKylReAi1lw/zGyjb1INan8XxRfh0HyMkg","human","Small",2,0,94,47,0.340425531914893,35,59,0,0,0,0,0,0,0,NA,NA
"67OYhQNO1027fJEZJxG3Iw/nkaudrXsSZ3dYlRQ2fECsg","human","Small",2,0,38,19,0.421052631578947,38,0,0,0,0,0,0,0,0,NA,NA
"6k6U1lWIqoLl9IZyS-p4vw/SeNiQCxytjPqcuNfrVqxsQ","human","Small",2,0,86,43,0.453488372093023,86,0,0,0,0,0,0,0,0,NA,NA
"6XC0EuOwRVpLof6vQo5AHA/hSfs8xGrTkQrzdThwhCOcQ","human-bot","Small",2,1,111,55.5,0.4009009009009,75,35,1,0,10,0,10,0,0,34,19
"6ZrHtGmpP_0EDMMxla4ReA/8-HEJxJXmWEny3x_lkYDKw","human","Small",3,0,201,67,0.557213930348258,50,149,2,0,0,0,0,0,0,2,139
"71yJPFC4o-dHGNt-KXeNJA/WYJsBhaTun8Ry2Q8M_eeuA","human","Large",9,0,89,9.88888888888889,0.424469413233458,44,36,9,0,0,0,0,0,0,NA,NA
"73BCuo_6LV7lmbQJuQb5vA/LkeFsm_-dcfz22Oq6XyZyw","human-bot","Large",13,1,490,37.6923076923076,0.562951334379905,345,145,0,0,62,0,62,0,0,8,89
"73lMEnL9ggs_cCIAjyW3lw/ArIhfhdeLlWibIekAjJXaA","human","Medium",6,0,120,20,0.372222222222222,82,19,19,0,0,0,0,0,0,24,54
"7AP5GuVuR4RV43hukVWRlA/etD9LB_pSfCmrYqsQhhAFA","human","Small",2,0,20,10,0.25,14,6,0,0,0,0,0,0,0,6,6
"7aZIQZSTKAYawn7PY_hphA/pfe5MUSnWVWLDA5CI53JSw","human-bot","Medium",6,1,470,78.3333333333333,0.536170212765957,72,245,153,0,55,0,55,0,0,8,122
"7dg5u--dc5TZQst0MHQILQ/ckrS9Juj0E8vrXNtNTAwpQ","human","Small",2,0,59,29.5,0.262711864406779,59,0,0,0,0,0,0,0,0,NA,NA
